saved,educ_low,female,age,educ,emp_in,mobileowner
0,1,1,58,2,1,2
1,1,1,30,2,1,1
0,1,1,75,2,1,1
1,1,1,30,2,1,1
1,0,2,55,3,1,1
1,1,2,39,2,1,1
0,1,2,89,2,2,1
1,1,2,42,2,1,1
1,0,2,37,3,1,1
0,0,1,23,3,1,1
0,1,1,34,2,2,1
0,1,1,27,2,2,1
1,1,2,59,2,1,1
1,1,1,17,2,1,1
1,1,1,31,2,1,1
0,1,2,29,2,1,1
0,1,2,23,2,1,1
0,1,2,53,2,1,1
1,1,2,25,2,1,1
1,1,2,31,2,1,1
1,0,2,39,3,1,1
0,1,1,61,2,1,1
0,0,1,58,4,1,1
1,1,2,27,2,1,1
1,0,1,41,3,1,1
0,1,1,25,2,2,1
0,1,1,27,1,1,2
1,1,2,21,2,1,1
1,1,2,38,2,2,1
1,1,2,20,2,1,1
0,1,2,59,2,1,1
1,0,1,62,3,2,1
1,1,1,56,2,1,1
1,1,2,24,2,2,1
1,1,1,65,2,2,1
1,0,2,29,3,1,1
0,1,2,47,1,1,1
0,1,1,16,2,2,1
1,1,1,19,2,1,1
0,1,2,19,2,1,1
0,1,1,34,2,1,1
0,1,2,15,2,2,1
0,1,2,21,2,2,1
1,1,2,28,2,1,1
0,1,1,28,2,1,1
1,1,1,33,2,1,1
0,0,2,53,3,1,1
1,1,2,38,2,1,1
0,1,2,53,1,1,1
1,0,1,49,3,1,1
0,1,1,30,2,1,1
1,1,2,30,2,1,1
1,1,1,37,2,1,1
0,1,2,23,2,2,1
0,1,2,43,2,1,1
0,1,1,51,1,1,1
0,1,2,58,1,1,2
0,1,1,88,1,2,1
1,1,2,43,2,1,1
1,1,1,26,2,2,1
0,1,1,40,1,1,1
0,1,2,57,2,1,1
1,1,1,19,2,1,1
1,0,1,56,3,1,1
0,1,1,42,2,1,1
1,1,1,30,2,2,1
1,1,1,32,2,2,1
0,1,2,17,2,2,1
0,1,1,28,1,1,1
0,1,2,69,1,1,1
0,1,2,23,2,1,1
1,0,1,35,3,1,1
0,1,1,58,1,1,1
0,1,2,20,2,1,1
1,1,2,39,2,1,1
0,1,1,55,1,2,1
0,0,1,62,3,2,1
0,1,2,27,1,1,1
1,1,1,40,2,1,1
1,1,2,37,2,1,1
0,1,1,19,2,1,1
0,1,1,62,1,1,1
0,1,1,21,2,1,1
1,0,2,24,3,1,1
1,1,2,31,2,1,1
0,1,1,34,2,1,1
0,1,1,28,2,1,1
0,1,2,15,2,2,1
0,1,2,37,2,1,1
