"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Ecuador","ECU",176343558,1.05415025885663,1,26,3,3,2,,0,0,,,2,,,,,,,,,,,,,,1,1,3,2,1,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,4,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Ecuador","ECU",175174604,0.444886404056992,1,50,2,1,1,,1,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,7,,,1,2,1,1,1,2,2,2,1,1,1,1,,,1,2,2,,2,2,,2,2,,,,,2,,,,,,1,2,1,1,2,1,,0,1,3,4,4,4,1,2,1,2,1,0
"Ecuador","ECU",199924564,0.466406015678482,1,19,2,5,1,,0,0,,,2,,,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,3,2,2,1,2,1,1,1,1,,,1,2,2,,,1,1,2,2,,1,,,2,2,,,,,2,,,,,,2,1,2,1,1,2,,0,1,2,4,4,4,2,1,1,1,0,0
"Ecuador","ECU",184897435,1.63265973739534,2,28,2,3,1,,1,1,1,2,2,,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,4,3,1,2,,,,2,,,,1,2,2,,,1,1,2,1,,,,2,2,2,,,,,1,1,2,,1,,1,2,2,2,2,2,,0,1,1,4,4,2,2,5,1,2,1,0
"Ecuador","ECU",188228830,0.551300467735431,1,39,2,2,2,,1,1,,,2,,,,,,,,,,,,,,,1,1,1,3,2,2,2,4,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,1,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,1,4,4,4,5,1,1,1,0
"Ecuador","ECU",165733461,0.342564612694144,1,26,3,5,1,,1,1,2,2,1,1,1,1,1,1,2,,2,1,2,1,1,1,,,,,,,,,,,,,,1,2,,1,2,2,,,,1,1,,2,2,1,2,,1,3,2,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,3,3,,2,,1,1,4,4,4,4,1,5,1,1,1,1
"Ecuador","ECU",133059150,1.11987470789239,2,23,2,4,1,,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,1,2,2,1,1,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,6,2,2,1,2,2,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,3,2,2,,1,0,4,4,4,4,4,4,1,1,0,0
"Ecuador","ECU",194327655,0.485709831892205,1,29,3,4,1,,1,1,1,2,1,1,1,1,1,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,,1,1,1,2,1,,2,2,,2,2,2,2,,2,2,2,1,1,,,2,,,,1,1,2,1,,,1,2,2,,1,,,2,2,,,,,2,,,,,,3,2,2,2,2,2,,1,0,2,4,4,4,1,1,1,1,1,1
"Ecuador","ECU",208610569,0.668639909144373,1,54,3,1,2,,1,1,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,2,2,,0,1,4,4,4,4,2,5,1,1,0,0
"Ecuador","ECU",202394128,0.489059496196941,1,27,2,5,1,,1,1,,,2,,,,,,,,,,,,,,,2,2,1,1,2,2,2,2,,,,,2,,,2,1,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,1,2,2,1,1,1,2,1,,,1,1,1,,,,2,1,2,2,,2,2,2,,,,,,3,2,2,2,2,2,,1,0,1,3,4,4,1,2,1,1,1,0
